GuiseLanguage,GuiseGender,Participant,ListenerGender,Trustworthy,Friendly,Agreeable,Wealthy,Educated,Local,Urban,Feminine_voice,Language_mastery,Pleasant_voice,Refined_accent
Genoese,Female,s1,Male,3,3,3,4,3,7,5,7,5,5,3
Genoese,Female,s2,Male,5,5,6,4,1,4,4,4,5,4,4
Genoese,Female,s3,Male,4,5,5,4,4,7,2,7,4,5,4
Genoese,Female,s4,Female,5,4,4,5,5,5,5,7,4,4,5
Genoese,Female,s5,Female,6,3,3,4,6,6,4,7,6,6,7
Genoese,Female,s6,Male,4,4,6,5,4,7,4,7,7,5,5
Genoese,Female,s7,Female,2,2,4,6,6,6,7,7,1,2,2
Genoese,Female,s8,Male,4,2,1,4,7,2,6,7,3,2,4
Genoese,Female,s9,Male,3,4,3,3,5,5,3,6,6,2,5
Genoese,Female,s10,Male,5,3,7,3,7,3,6,7,6,1,7
Genoese,Female,s11,Male,6,6,6,4,5,6,4,6,6,6,7
Genoese,Female,s12,Female,2,4,1,4,4,2,7,7,1,1,3
Genoese,Female,s13,Male,3,4,3,4,3,7,3,5,6,3,5
Genoese,Female,s14,Female,4,4,4,4,6,3,4,7,3,4,6
Genoese,Female,s15,Male,4,4,5,4,4,3,4,7,3,4,2
Genoese,Female,s16,Male,6,2,4,1,6,5,5,5,3,3,5
Genoese,Female,s17,Female,1,6,7,7,2,7,2,6,7,7,7
Genoese,Female,s18,Female,5,5,4,3,5,6,5,7,6,4,4
Genoese,Female,s19,Male,2,4,5,4,6,6,4,7,2,2,1
Genoese,Female,s20,Male,6,6,5,4,6,6,3,7,6,6,5
Genoese,Female,s21,Male,5,2,4,3,4,7,3,7,6,4,1
Genoese,Female,s22,Male,7,7,7,4,7,7,7,7,7,7,7
Genoese,Female,s23,Male,7,5,7,3,3,7,1,7,7,3,2
Genoese,Female,s24,Male,7,6,6,6,7,2,6,7,6,6,6
Genoese,Female,s25,Male,1,1,6,4,2,7,1,7,7,2,2
Genoese,Female,s26,Female,5,2,4,4,7,7,1,7,7,3,2
Genoese,Female,s27,Male,6,5,5,5,6,3,3,6,4,7,6
Genoese,Female,s28,Female,6,2,4,2,3,7,1,7,5,3,3
Genoese,Female,s29,Female,1,4,4,3,7,4,7,7,5,4,4
Genoese,Female,s30,Female,5,5,4,4,5,4,4,7,4,4,5
Genoese,Female,s31,Female,5,5,4,4,5,5,4,7,4,5,6
Genoese,Female,s32,Male,6,5,6,6,6,6,3,6,5,6,3
Genoese,Female,s33,Female,4,4,4,3,4,6,3,7,3,2,2
Genoese,Female,s34,Female,7,6,6,2,1,7,2,6,2,6,2
Genoese,Female,s35,Female,3,5,3,3,5,1,3,7,3,7,7
Genoese,Female,s36,Female,5,7,5,7,7,7,7,7,4,4,4
Genoese,Female,s37,Female,4,3,4,4,7,7,4,7,7,7,1
Genoese,Female,s38,Female,7,7,7,4,4,7,6,7,5,7,6
Genoese,Female,s39,Male,5,5,4,4,4,7,5,7,5,6,5
Genoese,Female,s40,Female,3,4,4,4,4,2,4,7,4,5,4
Genoese,Female,s41,Male,4,1,5,6,5,7,1,7,6,2,3
Genoese,Female,s42,Female,5,6,6,4,5,7,7,7,6,7,5
Genoese,Female,s43,Female,5,5,6,4,3,3,5,7,3,5,5
Genoese,Female,s44,Male,4,4,7,4,4,5,6,7,2,5,2
Genoese,Female,s45,Female,4,4,4,4,7,7,4,7,7,5,4
Genoese,Female,s46,Female,6,5,6,5,7,6,7,7,5,6,5
Genoese,Female,s47,Female,4,4,4,4,6,7,4,7,7,5,6
Genoese,Female,s48,Female,5,4,6,4,4,7,3,7,7,7,5
Genoese,Female,s49,Female,4,5,5,4,7,3,7,7,3,4,4
Genoese,Female,s50,Female,4,1,1,7,6,5,7,7,7,1,6
Genoese,Female,s51,Male,7,7,6,6,7,7,7,7,7,7,7
Genoese,Female,s52,Female,7,5,6,4,6,7,6,7,7,7,7
Genoese,Female,s53,Female,6,6,4,6,6,2,7,7,3,1,4
Genoese,Female,s54,Female,2,4,4,4,6,2,7,7,2,4,1
Genoese,Female,s55,Male,4,4,3,4,7,1,4,7,3,5,3
Genoese,Female,s56,Female,1,4,2,4,4,1,7,7,2,2,4
Genoese,Female,s57,Female,5,4,4,4,7,1,6,7,2,2,2
Genoese,Female,s58,Male,5,6,5,4,6,1,2,7,6,6,5
Genoese,Female,s59,Female,4,4,4,4,4,5,4,7,5,5,5
Genoese,Female,s60,Male,4,4,5,4,3,7,1,7,3,6,3
Genoese,Female,s61,Male,7,6,7,4,7,4,4,7,3,6,5
